"ООО СЛАВКОФЕ
";НАО;поселение Щербинка;"Пищевая промышленность
"
"ООО КСБ
";НАО;поселение Сосенское;"Микроэлектроника
"
"ООО РАДИОТЕХНИКА
";НАО;поселение Десеновское;"Приборостроение и электроника
"
ФГАНУ ФНЦИРИП ИМ. М.П. ЧУМАКОВА РАН (ИНСТИТУТ ПОЛИОМИЕЛИТА);НАО;поселение Московский;Фармацевтическая промышленность
ООО ФИРН М;НАО;поселение Кокошкино;Фармацевтическая промышленность
ООО МОССТРОЙ-31;НАО;поселение Марушкинское;Производство строительных материалов
ООО АЛЬТА-ПАНЕЛЬ;НАО;поселение Щербинка;Химическая промышленность
ООО СТАН;НАО;поселение Рязановское;Станкоинструментальная промышленность
ООО ЛЕЙТЦ ИНСТРУМЕНТЫ;НАО;поселение Мосрентген;"Станкоинструментальная промышленность
"
АО МЕРИДИАН ;САО;район Западное Дегунино;Пищевая промышленность
АО ВБД ;САО;район Восточное Дегунино;Пищевая промышленность
АО МЕЛЬКОМБИНАТ №3 ;САО;Хорошёвский район;Пищевая промышленность
ЗАО  Хлебозавод № 24 ;САО;район Сокол;Пищевая промышленность
ЗАО Хлебозавод N18 ;САО;район Аэропорт;Пищевая промышленность
АО Издательство Детская литература ;САО;район Аэропорт;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ООО АКТИОН-ПРЕСС ;САО;Тимирязевский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ООО ИЗДАТЕЛЬСТВО ЭКСМО ;САО;Хорошёвский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
АО МВКЗ КИН ;САО;район Левобережный;Пищевая промышленность
ЗАО НПО ДИНАФОРС ;САО;Хорошёвский район;Легкая промышленность
ООО Тримонти ;САО;район Беговой;Легкая промышленность
АО СВОБОДА ;САО;Савёловский район;Химическая промышленность
ООО БЕКАМ ;САО;район Левобережный;Неметаллические минеральные продукты
АО ПАРАСТЕК БЕТОН ;САО;Хорошёвский район;Неметаллические минеральные продукты
ООО ЭПУ-ИТЦ ;САО;район Коптево;Металлообрабатывающая промышленность
ЗАО 66 МОЗ ;САО;Головинский район;Металлообрабатывающая промышленность
ОАО НПП Темп  им.Ф.Короткова ;САО;район Беговой;Машины и оборудование
ООО СУ-162 МОСЛИФТМОНТАЖ ;САО;район Аэропорт;Машины и оборудование
ОАО МОСЛИФТ ;САО;район Беговой;Машины и оборудование
АНО ПАРЛАМЕНТСКАЯ ГАЗЕТА ;САО;район Беговой;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ЗАО ИД ЭКОНОМИЧЕСКАЯ ГАЗЕТА ;САО;район Аэропорт;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ФГБУ РЕДАКЦИЯ РОССИЙСКОЙ ГАЗЕТЫ ;САО;район Беговой;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
АО ИЗДАТЕЛЬСТВО РОССИЙСКАЯ ГАЗЕТА ;САО;район Беговой;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
АНО Редакция газеты Правда ;САО;район Беговой;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ООО РЕДАКЦИЯ ГАЗЕТЫ СОВЕТСКИЙ СПОРТ ;САО;Савёловский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ЗАО Издательство СЕМЬ ДНЕЙ ;САО;Войковский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
АО МОСКОВСКИЕ УЧЕБНИКИ ;САО;Хорошёвский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ООО ПЕРВЫЙ ПЕЧАТНЫЙ ДВОР ;САО;Войковский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ООО ФИРМА АЛЬФА-ДИЗАЙН ;САО;район Коптево;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ОАО Аурат ;САО;Головинский район;Химическая промышленность
ЗАО МОСКОВСКАЯ ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА ;САО;район Коптево;Химическая промышленность
ФГУП МОСКОВСКОЕ ПРОП  МИНТРУДА РОССИИ;САО;район Западное Дегунино;Медицинское оборудование
ПАО НПО АЛМАЗ ;САО;район Сокол;Радиоэлектронная промышленность
АО ДУКС ;САО;район Беговой;Транспортные средства
ПАО КОМПАНИЯ СУХОЙ ;САО;Хорошёвский район;Транспортные средства
ООО КОМПАНИЯ АТЛАС-ЛЮКС ;САО;район Аэропорт;Мебель
ООО Дрим Технолоджис ;САО;Войковский район;Мебель
ООО Мебельная фабрика Марта ;САО;Головинский район;Мебель
АО АЛМАЗНЫЙ МИР ;САО;Головинский район;Ювелирные изделия
АО МЭЮЗ Ювелирпром ;САО;район Ховрино;Ювелирные изделия
АО НАВИС-ЭЛЕКТРОНИКА ;САО;Дмитровский район;Машины и оборудование
ОАО МЗПИ ;САО;Хорошёвский район;Машины и оборудование
АО ВМЗ ;САО;Бескудниковский район;Производство компьютеров, электронных и оптических изделий
АО СПЕЦМАГНИТ ;САО;Бескудниковский район;Производство электрического оборудования
АО СВЯЗЬ ИНЖИНИРИНГ ;САО;Савёловский район;Производство электрического оборудования
ШВЕЙНАЯ ФИРМА КОСМОС  ООО;САО;район Западное Дегунино;Легкая промышленность
ООО С.Д.ДАЙМОНД ;САО;Головинский район;Ювелирные изделия
"ЗАО СОЛНЦЕ МЕХИКО
";САО;район Западное Дегунино;пищевая промышленность
